mam-+tu[N→V][V][Intr][Ind][S_3Sg]	mamtuuq
iqa-–lria/@ngur*[V→N][N][Abl_Mod][Unpd][Du]	iqalriignek
tungu-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	tungulria
qater-–lria/@ngur*[V→N][N][Rel][Unpd][Sg]	qatellriim
naveg-:(u/i)ma[V→V]-–lria/@ngur*[V→N][N][Ter][Unpd][Sg]	navgumalriamun
etʼu-–lria/@ngur*[V→N][N][Rel][Unpd][Sg]	etʼulriim
kumlate-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	kumlalnguq
nere-–ksaite[V→V]-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	nereksailnguq
keggute-:(ng)ite[N→V]-–lria/@ngur*[V→N][N][Abs][Unpd][Pl]	keggutailnguut
nanvar[Loc][Unpd][Sg]-ete[N→V]-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	nanvamelnguq
kumlate-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	kumlatellria
nere-–ksaite[V→V]-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	nereksaitellria
etgate-–lria/@ngur*[V→N][N][Rel][Unpd][Sg]	etgalnguum
atsar-:(ng)ite[N→V]-–lria/@ngur*[V→N][N][Ter][Unpd][Sg]	atsailngurmun
mamtu-–lria/@ngur*[V→N][N][Abl_Mod][Unpd][Sg]	mamtulriamek
ingrir[Loc][Unpd][Pl]-ete[N→V]-–lria/@ngur*[V→N][N][Abl_Mod][Unpd][Sg]	ingrinelngurmek
cuka-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	cukalria
ciute-–rpag/@vag[N→N]-–ngqerr[N→V]-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	ciuterpangqellria
ciute-–rpag/@vag[N→N]-–leg[N→N][N][Abs][Unpd][Sg]	ciuterpalek
imar-–leg[N→N][N][Abs][Unpd][Sg]	imalek
yaqur-–leg[N→N][N][Abs][Unpd][Sg]	yaqulek
qia-–llru[V→V]-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	qiallrulria
qia-–ller[V→N][N][Abs][Unpd][Sg]	qialleq
qia-–ller[V→N][N][Abs][Unpd][Pl]	qiallret
qia-–ller[V→N][N][Rel][Unpd][Sg]	qiallrem
ekua-–ller[V→N][N][Loc][Unpd][Sg]	ekuallermi
nere-–ller[V→N][N][Abs][Unpd][Sg]	nerrleq
nere-–ller[V→N][N][Abs][3SgPoss][SgPosd]	nerellra
qilug-–ller[V→N][N][Abs][3SgPoss][SgPosd]	qilullra
atur-–ller[V→N][N][Abs][1SgPoss][SgPosd]	atulqa
iqlu-+(s)te[V→N][N][Abs][1SgPoss][SgPosd]	iqlusteka
qilug-+(s)te[V→N][N][Abs][3SgPoss][SgPosd]	qilugtii
qasgir-–ller[N→N][N][Abs][Unpd][Sg]	qasgilleq
[e]ne-–ller[N→N][N][Abs][3PlPoss][SgPosd]	nellrat
elitnauriste-–ller[N→N][N][Abs][Unpd][Sg]	elitnauristelleq
elitnauriste-–ller[N→N][N][Abs][3PlPoss][SgPosd]	elitnauristellrat
qilug-+(s)te[V→N]-–ller[N→N][N][Abs][3SgPoss][SgPosd]	qilugtellra
kegge-+(s)te[V→N]-–ller[N→N][N][Rel][3SgPoss][SgPosd]	keggestellran
ange-–ssiyaag[V→V][V][Intr][Ind][S_3Sg]	angssiyaagtuq
uqamaite-–ssiyaag[V→V][V][Intr][Ind][S_3Sg]	uqamaitessiyaagtuq
mike-–ssiyaag[V→V][V][Intr][Ind][S_3Sg]	miksiyaagtuq
etʼu-–ssiyaag[V→V][V][Intr][Ind][S_3Sg]	etʼussiyaagtuq
sugtu-@+ta[V→V][V][Intr][Ind][S_3Sg]	sugtutauq
ange-@+ta[V→V][V][Intr][Ind][S_3Sg]	angtauq
uqamaite-@+ta[V→V][V][Intr][Ind][S_3Sg]	uqamaltauq
uqamaite-@+ta[V→V][V][Intr][Ind][S_3Sg]	uqamailtauq
assir-–nru[V→V][V][Intr][Ind][S_3Sg]	assinruuq
sugtu-–nru[V→V][V][Intr][Ind][S_1Sg]	sugtunruunga
uquri-–nru[V→V][V][Intr][Ind][S_1Sg]	uqurinruunga
nengllir-–nru[V→V][V][Intr][Ind][S_3Sg]	nengllinruuq
assike-–nru[V→V][V][Trns][Ind][A_1Sg][P_3Sg]	assikenruaqa
alike-–nru[V→V]-–llru[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	alikenrullrua
sugkite-@llru[V→V][V][Intr][Ind][S_3Sg]	sugkillruuq
nanite-@llru[V→V][V][Intr][Ind][S_3Sg]	nanillruuq
mike-–nru[V→V][V][Intr][Ind][S_3Sg]	mikenruuq
mikellru[V][Intr][Ind][S_3Sg]	mikellruuq
mikte[V][Intr][Ind][S_3Sg]	miktuq
ange-–ner[V→N][N][Abs][3PlPoss][SgPosd]	angenrat
ange-–ner[V→N][N][Abs][3PlPoss][PlPosd]	angenrit
etgate-@ller[V→N][N][Abs][3PlPoss][PlPosd]	etgallrit
ciu[Positional]-–qlir*[N→N][N][Abs][Unpd][Sg]	ciuqliq
kingu[Positional]-–qlir*[N→N][N][Abs][Unpd][Sg]	kinguqliq
ilu[Positional]-–qlir*[N→N][N][Abs][Unpd][Sg]	iluqliq
aci[Positional]-–qlir*[N→N][N][Abs][Unpd][Sg]	aciqliq
ua[DemAdv]-–qlir*[N→N][N][Abs][Unpd][Sg]	uaqliq
kia[DemAdv]-–qlir*[N→N][N][Abs][Unpd][Sg]	kiaqliq
anngar-–qlir*[N→N][N][Abs][Unpd][Sg]	anngaqliq
maqi-@~+yartur[V→V][V][Intr][Sbrd][S_3Sg]	maqiyarturluni
qavar-@~+yartur[V→V][V][Intr][Ind][S_3Sg]	qavaryarturtuq
tupag-@~+yartur[V→V][V][Intr][Ind][S_3Sg]	tupagyarturtuq
tekite-@~+yartur[V→V][V][Intr][Ind][S_3Sg]	tekicarturtuq
manar-@~+yar[V→V][V][Intr][Ind][S_3Sg]	manaryartuq
pissur-@~+yar[V→V][V][Intr][Ind][S_3Sg]	pissuryartuq
iqvar-@~+yar[V→V][V][Intr][Ind][S_3Sg]	iqvaryartuq
nere-@~+yar[V→V][V][Intr][Ind][S_3Sg]	neryartuq
tuntuvag-+te[N→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	tuntuvagtellruuq
yaquleg-+te[N→V]-+ciqe/@ciiqe[V→V]-@~+yugnarqe[V→V][V][Intr][Ind][S_3Pl]	yaqulegciiqsugnarqut
nanvar-+te[N→V]-–llru[V→V][V][Intr][Ind][S_1Pl]	nanvartellruukut
neqliller-+te[N→V]-@~+ngaite[V→V][V][Intr][Ind][S_3Pl]	neqlillerrngaitut
kipusvig-+te[N→V]-@:(u)te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	kipusvigutaa
nuna-+te[N→V][V][Intr][Ind][S_3Sg]	nunatuq
yug-+te[N→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	yugtellruuq
kassʼar-+te[N→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	kassʼartellruuq
angyar-+kar[N→N][N][Abs][1SgPoss][SgPosd]	angyarkaqa
neqe-+kar[N→N][N][Abs][Unpd][Sg]	neqkaq
ui-+kar[N→N]-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	uikaqaa
manar-@~+vig[V→N]-+kar[N→N][N][Ter][4PlPoss][SgPosd]	manarvigkameggnun
atur-+'(g)ar[V→N][N][Abs][Unpd][Sg]	aturaq
kenir-+'(g)ar[V→N][N][Abs][Unpd][Sg]	keniraq
pite-+'(g)ar[V→N][N][Abs][Unpd][Sg]	pitaq
akute-+'(g)ar[V→N][N][Abs][Unpd][Sg]	akutaq
elitnaur-+'(g)ar[V→N][N][Abs][Unpd][Sg]	elitnauraq
irni-+'(g)ar[V→N][N][Abs][Unpd][Sg]	irniaq
iqair-+'(g)ar[V→N][N][Abs][Unpd][Pl]	iqairat
atkug-––liar[N→N][N][Abs][3SgPoss][SgPosd]	atkuliara
kuig-––liar[N→N][N][Abs][Unpd][Sg]	kuiliaq
pi-––liar[N→N]-–ke[N→V][V][Trns][Intrg][A_3Sg][P_3Sg]	piliaqau
maqaruar-+tar[N→N][N][Abs][1SgPoss][PlPosd]	maqaruartanka
iqair-+'(g)arkar[V→N][N][Abs][Unpd][Sg]	iqairarkaq
cali-+'(g)arkar[V→N]-:(ng)ite[N→V][V][Intr][Ind][S_1Sg]	caliarkaitua
pite-+'(g)arkar[V→N][N][Abs][Unpd][Pl]	pitarkat
nere-+'(g)arkau[V→V][V][Intr][Ind][S_3Sg]	nerʼarkauguq
nere-+'(g)arkau[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	nerʼarkaugaa
pag[DemPro][Abs][Unpd][Sg]	pagna
pagaa[DemAdv][Loc]	pagaani
pau͡g[DemPro][Abs][Unpd][Sg]	pau͡gna
pava[DemAdv][Loc]	pavani
pakem[DemPro][Abs][Unpd][Sg]	pakemna
pakma[DemAdv][Loc]	pakmani
pam[DemPro][Abs][Unpd][Sg]	pamna
pama[DemAdv][Loc]	pamani
qag[DemPro][Abs][Unpd][Sg]	qagna
qagaa[DemAdv][Loc]	qagaani
qau͡g[DemPro][Abs][Unpd][Sg]	qau͡gna
qava[DemAdv][Loc]	qavani
qakem[DemPro][Abs][Unpd][Sg]	qakemna
qakma[DemAdv][Loc]	qakmani
qam[DemPro][Abs][Unpd][Sg]	qamna
qama[DemAdv][Loc]	qamani
cakem[DemPro][Abs][Unpd][Sg]	cakemna
cakma[DemAdv][Loc]	cakmani
cam[DemPro][Abs][Unpd][Sg]	camna
cama[DemAdv][Loc]	camani
